fold,model,n_train,n_val,train_storms,val_storms,train_ri,val_ri,scale_pos_weight,roc_auc,pr_auc,brier,n_features,best_iteration
1,IMD,682,171,85,20,83,26,7.216867469879518,0.8941644562334218,0.5705920464541163,0.10499203591744927,9,
1,ERA5,682,171,85,20,83,26,7.216867469879518,0.5114058355437665,0.20093293899766831,0.1479131248715991,89,
1,IMD+ERA5,682,171,85,20,83,26,7.216867469879518,0.7801061007957559,0.4070047275709877,0.1281151743792496,98,
2,IMD,682,171,84,21,91,18,6.4945054945054945,0.7984749455337691,0.27787760834448944,0.13418619246719093,9,
2,ERA5,682,171,84,21,91,18,6.4945054945054945,0.8010167029774873,0.2647164300040977,0.09364666303638558,89,
2,IMD+ERA5,682,171,84,21,91,18,6.4945054945054945,0.7596223674655047,0.2820510090213308,0.1023533792655117,98,
3,IMD,682,171,83,22,85,24,7.023529411764706,0.735827664399093,0.33983375033163427,0.20293928242886755,9,
3,ERA5,682,171,83,22,85,24,7.023529411764706,0.7630385487528344,0.5207104392230743,0.10018149804189917,89,
3,IMD+ERA5,682,171,83,22,85,24,7.023529411764706,0.8228458049886621,0.5180551184539035,0.1074152287598915,98,
4,IMD,683,170,84,21,89,20,6.674157303370786,0.7328333333333333,0.2468380393002447,0.15911506175605974,9,
4,ERA5,683,170,84,21,89,20,6.674157303370786,0.662,0.2913916308962753,0.11220668773921232,89,
4,IMD+ERA5,683,170,84,21,89,20,6.674157303370786,0.7493333333333333,0.42459433976659744,0.10578828595458664,98,
5,IMD,683,170,84,21,88,21,6.761363636363637,0.8494726749760307,0.3766650000681849,0.10705705365842376,9,
5,ERA5,683,170,84,21,88,21,6.761363636363637,0.6784915308405242,0.17239577675452972,0.15030397994918415,89,
5,IMD+ERA5,683,170,84,21,88,21,6.761363636363637,0.764461489293704,0.3290468582472924,0.1172294723303146,98,
