storm_id,datetime_utc,max_wind_kt,central_pressure_hpa,pressure_drop_hpa,grade,wind_minus_6h_kt,delta_v_minus_6h_kt,wind_minus_12h_kt,delta_v_minus_12h_kt,wind_minus_24h_kt,delta_v_minus_24h_kt
2010-003,2010-05-31 06:00:00,25.0,1001.0,3.0,D,,,,,,
2010-003,2010-05-31 12:00:00,25.0,1001.0,3.0,D,25.0,0.0,,,,
2010-003,2010-05-31 18:00:00,25.0,999.0,4.0,D,25.0,0.0,25.0,0.0,,
2010-003,2010-06-01 00:00:00,30.0,998.0,5.0,DD,25.0,5.0,25.0,5.0,,
2010-003,2010-06-01 03:00:00,30.0,998.0,5.0,DD,,,,,,
2010-003,2010-06-01 06:00:00,30.0,996.0,5.0,DD,30.0,0.0,25.0,5.0,25.0,5.0
2010-003,2010-06-01 09:00:00,35.0,995.0,7.0,CS,30.0,5.0,,,,
2010-003,2010-06-01 12:00:00,35.0,994.0,7.0,CS,30.0,5.0,30.0,5.0,25.0,10.0
2010-003,2010-06-01 15:00:00,40.0,992.0,8.0,CS,35.0,5.0,30.0,10.0,,
2010-003,2010-06-01 18:00:00,45.0,990.0,10.0,CS,35.0,10.0,30.0,15.0,25.0,20.0
2010-003,2010-06-01 21:00:00,45.0,990.0,10.0,CS,40.0,5.0,35.0,10.0,,
2010-003,2010-06-02 00:00:00,55.0,986.0,15.0,SCS,45.0,10.0,35.0,20.0,30.0,25.0
2010-003,2010-06-02 03:00:00,60.0,984.0,18.0,SCS,45.0,15.0,40.0,20.0,30.0,30.0
2010-003,2010-06-02 06:00:00,70.0,978.0,24.0,VSCS,55.0,15.0,45.0,25.0,30.0,40.0
2010-003,2010-06-02 09:00:00,80.0,968.0,32.0,VSCS,60.0,20.0,45.0,35.0,35.0,45.0
2010-003,2010-06-02 12:00:00,85.0,964.0,36.0,VSCS,70.0,15.0,55.0,30.0,35.0,50.0
2010-003,2010-06-02 15:00:00,85.0,964.0,36.0,VSCS,80.0,5.0,60.0,25.0,40.0,45.0
2010-003,2010-06-02 18:00:00,85.0,966.0,36.0,VSCS,85.0,0.0,70.0,15.0,45.0,40.0
2010-003,2010-06-02 21:00:00,80.0,970.0,32.0,VSCS,85.0,-5.0,80.0,0.0,45.0,35.0
2010-003,2010-06-03 00:00:00,75.0,974.0,28.0,VSCS,85.0,-10.0,85.0,-10.0,55.0,20.0
2010-003,2010-06-03 03:00:00,75.0,974.0,28.0,VSCS,80.0,-5.0,85.0,-10.0,60.0,15.0
2010-003,2010-06-03 06:00:00,70.0,978.0,24.0,VSCS,75.0,-5.0,85.0,-15.0,70.0,0.0
2010-003,2010-06-03 09:00:00,70.0,978.0,24.0,VSCS,75.0,-5.0,80.0,-10.0,80.0,-10.0
