date,lat_min,lat_max,lon_min,lon_max,observations,storms
1993-12-01,5.0,10.5,85.5,93.5,3,1
1993-12-02,5.5,11.5,82.5,90.0,5,1
1993-12-03,7.0,12.5,79.5,87.0,4,1
1993-12-19,6.0,11.5,80.0,86.0,3,1
1994-03-21,6.5,12.5,87.5,93.0,2,1
1994-03-22,9.0,15.5,87.0,93.0,4,1
1994-03-23,11.0,16.0,88.5,93.5,2,1
1994-04-29,6.0,12.9,88.2,94.5,5,1
1994-04-30,8.3,15.5,87.7,93.1,5,1
1994-05-01,11.0,18.5,87.5,92.9,4,1
1994-10-29,7.0,13.5,81.5,87.5,4,1
1994-10-30,9.0,14.8,78.5,85.5,4,1
1995-05-08,12.0,18.0,79.0,84.0,3,1
1995-05-09,13.0,19.0,79.0,85.0,4,1
1995-05-14,17.0,22.0,84.0,89.0,1,1
1995-05-15,17.5,24.0,84.3,90.5,5,1
1995-05-16,19.5,25.0,86.0,93.0,5,1
1995-09-16,16.5,22.5,86.5,92.5,3,1
1995-11-07,8.5,15.5,86.5,94.0,4,1
1995-11-08,10.5,16.0,85.0,91.0,2,1
1995-11-21,5.0,9.5,88.0,93.5,2,1
1995-11-22,5.0,12.0,85.0,92.5,5,1
1995-11-23,7.5,14.5,82.5,89.0,5,1
1995-11-24,11.0,17.5,82.5,87.5,3,1
1996-06-12,8.5,14.0,82.5,88.5,2,1
1996-06-13,9.5,16.0,78.5,86.5,5,1
1996-06-14,11.0,18.5,78.0,84.5,5,1
1996-06-15,14.0,19.0,80.0,85.0,2,1
1996-10-27,12.5,19.5,83.0,88.5,4,1
1996-11-04,13.5,18.5,85.0,90.0,1,1
1996-11-05,13.5,18.5,82.5,89.5,6,1
1996-11-28,9.0,15.5,83.0,89.0,4,1
1996-11-29,10.0,16.5,82.5,89.5,5,1
1996-11-30,12.0,18.0,85.0,91.5,5,1
1996-12-01,12.0,17.0,85.5,91.5,5,1
1996-12-02,11.5,16.5,83.0,89.5,5,1
1996-12-03,11.5,17.2,80.5,87.5,5,1
1996-12-04,12.2,18.0,78.9,85.5,5,1
1996-12-05,11.8,17.5,78.8,84.5,4,1
1997-05-15,5.0,10.5,88.0,93.0,4,1
1997-05-16,6.0,13.0,88.0,93.8,6,1
1997-05-17,8.5,17.5,88.5,94.0,6,1
1997-05-18,13.5,20.5,88.0,93.5,5,1
1997-07-29,18.5,23.5,86.5,91.5,2,1
1997-09-23,13.0,18.5,80.0,85.0,5,1
1997-09-24,14.0,19.2,80.0,85.4,6,1
1997-09-25,14.8,22.0,81.1,89.5,6,1
