storm_id,year,name,basin,datetime_utc,latitude,longitude,max_wind_kt,central_pressure_hpa,pressure_drop_hpa,grade,wind_24h_kt,delta_v_24h_kt,RI_24h,wind_minus_6h_kt,delta_v_minus_6h_kt,wind_minus_12h_kt,delta_v_minus_12h_kt,wind_minus_24h_kt,delta_v_minus_24h_kt
1982-001,1982,,BOB,1982-05-01 03:00:00,14.0,82.5,25.0,,3.0,D,45.0,20.0,0.0,,,,,,
1982-001,1982,,BOB,1982-05-01 06:00:00,14.5,82.5,30.0,,5.0,DD,50.0,20.0,0.0,,,,,,
1982-001,1982,,BOB,1982-05-01 12:00:00,15.0,82.0,35.0,,6.0,CS,55.0,20.0,0.0,30.0,5.0,,,,
1982-001,1982,,BOB,1982-05-01 18:00:00,15.5,82.5,40.0,,8.0,CS,55.0,15.0,0.0,35.0,5.0,30.0,10.0,,
1982-001,1982,,BOB,1982-05-02 00:00:00,16.0,83.0,45.0,,10.0,CS,60.0,15.0,0.0,40.0,5.0,35.0,10.0,,
1982-001,1982,,BOB,1982-05-02 03:00:00,16.5,83.5,45.0,,10.042650267804008,CS,65.0,20.0,0.0,,,,,25.0,20.0
1982-001,1982,,BOB,1982-05-02 06:00:00,16.5,84.0,50.0,,12.398333663955565,SCS,80.0,30.0,1.0,45.0,5.0,40.0,10.0,30.0,20.0
1982-001,1982,,BOB,1982-05-02 12:00:00,16.5,84.5,55.0,,15.001983733386234,SCS,90.0,35.0,1.0,50.0,5.0,45.0,10.0,35.0,20.0
1982-001,1982,,BOB,1982-05-02 18:00:00,17.0,85.0,55.0,,15.001983733386234,SCS,105.0,50.0,1.0,55.0,0.0,50.0,5.0,40.0,15.0
1982-001,1982,,BOB,1982-05-03 00:00:00,17.0,86.0,60.0,,17.853600476096013,SCS,115.0,55.0,1.0,55.0,5.0,55.0,5.0,45.0,15.0
1982-001,1982,,BOB,1982-05-03 03:00:00,17.0,86.5,65.0,,20.953183892084905,VSCS,115.0,50.0,1.0,,,,,45.0,20.0
1982-001,1982,,BOB,1982-05-03 06:00:00,17.5,87.5,80.0,,31.73973417972625,VSCS,115.0,35.0,1.0,60.0,20.0,55.0,25.0,50.0,30.0
1982-001,1982,,BOB,1982-05-03 12:00:00,17.5,88.5,90.0,,40.17060107121603,VSCS,115.0,25.0,0.0,80.0,10.0,60.0,30.0,55.0,35.0
1982-001,1982,,BOB,1982-05-03 18:00:00,17.5,90.0,105.0,,54.67665145804404,VSCS,115.0,10.0,0.0,90.0,15.0,80.0,25.0,55.0,50.0
1982-001,1982,,BOB,1982-05-04 00:00:00,17.5,91.0,115.0,,65.58718508232494,VSCS,,,,105.0,10.0,90.0,25.0,60.0,55.0
1982-001,1982,,BOB,1982-05-04 03:00:00,17.5,91.5,115.0,,65.58718508232494,VSCS,30.0,-85.0,0.0,,,,,65.0,50.0
1982-001,1982,,BOB,1982-05-04 06:00:00,17.5,92.0,115.0,,65.58718508232494,VSCS,,,,115.0,0.0,105.0,10.0,80.0,35.0
1982-001,1982,,BOB,1982-05-04 12:00:00,17.5,93.5,115.0,,65.58718508232494,VSCS,,,,115.0,0.0,115.0,0.0,90.0,25.0
1982-001,1982,,BOB,1982-05-04 18:00:00,17.3,94.5,115.0,,65.58718508232494,VSCS,,,,115.0,0.0,115.0,0.0,105.0,10.0
1982-001,1982,,BOB,1982-05-05 03:00:00,17.2,98.5,30.0,,4.463400119024003,DD,,,,,,,,115.0,-85.0
1982-002,1982,,BOB,1982-05-31 12:00:00,14.5,91.5,25.0,990.0,3.0995834159888913,D,40.0,15.0,0.0,,,,,,
1982-002,1982,,BOB,1982-05-31 18:00:00,19.0,91.3,30.0,988.0,4.463400119024003,DD,40.0,10.0,0.0,25.0,5.0,,,,
1982-002,1982,,BOB,1982-06-01 00:00:00,15.5,91.0,35.0,986.0,6.075183495338227,CS,40.0,5.0,0.0,30.0,5.0,25.0,10.0,,
1982-002,1982,,BOB,1982-06-01 03:00:00,16.0,91.0,40.0,984.0,7.934933544931562,CS,45.0,5.0,0.0,,,,,,
1982-002,1982,,BOB,1982-06-01 06:00:00,16.5,91.0,40.0,984.0,7.934933544931562,CS,45.0,5.0,0.0,35.0,5.0,30.0,10.0,,
1982-002,1982,,BOB,1982-06-01 12:00:00,16.5,90.5,40.0,984.0,7.934933544931562,CS,45.0,5.0,0.0,40.0,0.0,35.0,5.0,25.0,15.0
1982-002,1982,,BOB,1982-06-01 18:00:00,17.0,90.0,40.0,984.0,7.934933544931562,CS,50.0,10.0,0.0,40.0,0.0,40.0,0.0,30.0,10.0
1982-002,1982,,BOB,1982-06-02 00:00:00,19.0,88.5,40.0,984.0,7.934933544931562,CS,55.0,15.0,0.0,40.0,0.0,40.0,0.0,35.0,5.0
1982-002,1982,,BOB,1982-06-02 03:00:00,17.5,89.5,45.0,982.0,10.042650267804008,CS,65.0,20.0,0.0,,,,,40.0,5.0
1982-002,1982,,BOB,1982-06-02 06:00:00,17.5,89.5,45.0,982.0,10.042650267804008,CS,80.0,35.0,1.0,40.0,5.0,40.0,5.0,40.0,5.0
1982-002,1982,,BOB,1982-06-02 12:00:00,18.0,89.0,45.0,982.0,10.042650267804008,SCS,90.0,45.0,1.0,45.0,0.0,40.0,5.0,40.0,5.0
1982-002,1982,,BOB,1982-06-02 18:00:00,18.5,88.5,50.0,979.0,13.0,SCS,90.0,40.0,1.0,45.0,5.0,45.0,5.0,40.0,10.0
1982-002,1982,,BOB,1982-06-03 00:00:00,19.0,88.5,55.0,976.0,16.0,SCS,65.0,10.0,0.0,50.0,5.0,45.0,10.0,40.0,15.0
1982-002,1982,,BOB,1982-06-03 03:00:00,19.0,88.0,65.0,972.0,22.0,VSCS,45.0,-20.0,0.0,,,,,45.0,20.0
1982-002,1982,,BOB,1982-06-03 06:00:00,19.5,87.5,80.0,960.0,31.73973417972625,VSCS,35.0,-45.0,0.0,55.0,25.0,50.0,30.0,45.0,35.0
1982-002,1982,,BOB,1982-06-03 09:00:00,19.5,87.5,90.0,952.0,40.17060107121603,VSCS,,,,65.0,25.0,,,,
1982-002,1982,,BOB,1982-06-03 12:00:00,20.0,87.0,90.0,952.0,40.0,VSCS,30.0,-60.0,0.0,80.0,10.0,55.0,35.0,45.0,45.0
1982-002,1982,,BOB,1982-06-03 18:00:00,21.0,86.5,90.0,952.0,40.17060107121603,VSCS,30.0,-60.0,0.0,90.0,0.0,80.0,10.0,50.0,40.0
1982-002,1982,,BOB,1982-06-04 00:00:00,21.5,86.0,65.0,970.0,22.0,VSCS,25.0,-40.0,0.0,90.0,-25.0,90.0,-25.0,55.0,10.0
1982-002,1982,,BOB,1982-06-04 03:00:00,22.0,85.5,45.0,982.0,10.0,CS,20.0,-25.0,0.0,,,,,65.0,-20.0
1982-002,1982,,BOB,1982-06-04 06:00:00,22.5,85.0,35.0,986.0,6.0,CS,,,,65.0,-30.0,90.0,-55.0,80.0,-45.0
1982-002,1982,,BOB,1982-06-04 12:00:00,23.0,84.0,30.0,988.0,4.463400119024003,DD,,,,35.0,-5.0,65.0,-35.0,90.0,-60.0
1982-002,1982,,BOB,1982-06-04 18:00:00,24.0,82.5,30.0,988.0,4.463400119024003,DD,,,,30.0,0.0,35.0,-5.0,90.0,-60.0
1982-002,1982,,BOB,1982-06-05 00:00:00,24.5,81.0,25.0,990.0,3.0,D,,,,30.0,-5.0,30.0,-5.0,65.0,-40.0
1982-002,1982,,BOB,1982-06-05 03:00:00,25.0,81.5,20.0,991.0,3.0,D,,,,,,,,45.0,-25.0
1982-003,1982,,BOB,1982-07-18 03:00:00,18.0,88.0,25.0,,4.0,D,30.0,5.0,0.0,,,,,,
1982-003,1982,,BOB,1982-07-18 12:00:00,18.3,87.0,30.0,,5.0,DD,25.0,-5.0,0.0,,,,,,
1982-003,1982,,BOB,1982-07-18 18:00:00,18.4,86.5,30.0,,5.0,DD,,,,30.0,0.0,,,,
1982-003,1982,,BOB,1982-07-19 00:00:00,18.5,86.0,30.0,,5.0,DD,20.0,-10.0,0.0,30.0,0.0,30.0,0.0,,
1982-003,1982,,BOB,1982-07-19 03:00:00,18.5,86.0,30.0,,5.0,DD,,,,,,,,25.0,5.0
