storm_id,datetime_utc,latitude,longitude,RI_24h,era5_datetime,era5_delta_minutes,d_850,d_700,d_500,d_200,r_850,r_700,r_500,r_200,t_850,t_700,t_500,t_200,u_850,u_700,u_500,u_200,v_850,v_700,v_500,v_200,shear_850_200
1982-001,1982-05-01 03:00:00,14.0,82.5,0.0,1982-05-01 03:00:00,0.0,-4.079192876815796e-07,3.267708234488964e-05,-2.3545930162072182e-05,-4.298216663300991e-05,80.23178100585938,65.47821044921875,84.29828643798828,95.72061157226562,292.08056640625,282.64013671875,268.0029296875,221.17965698242188,-0.333221435546875,-0.4869842529296875,3.0794525146484375,-4.2765655517578125,2.7560577392578125,0.7940216064453125,-3.0366973876953125,8.92413330078125,7.3208687292914965
1982-001,1982-05-01 06:00:00,14.5,82.5,0.0,1982-05-01 06:00:00,0.0,-1.2726522982120514e-05,-4.414236173033714e-05,-4.970794543623924e-05,0.00013165478594601154,93.11914825439453,72.02861785888672,99.79866027832031,101.8681411743164,291.05322265625,281.836181640625,267.923828125,222.09841918945312,-1.7347259521484375,-2.45147705078125,2.816192626953125,-3.11700439453125,2.6067047119140625,-0.5574188232421875,-4.79071044921875,7.907318115234375,5.477882450704396
1982-001,1982-05-01 12:00:00,15.0,82.0,0.0,1982-05-01 12:00:00,0.0,4.061800427734852e-05,-2.742139622569084e-05,-2.6960624381899834e-05,-5.394080653786659e-05,59.16245651245117,68.24456024169922,61.85527038574219,96.69718933105469,291.9345703125,281.96728515625,268.983154296875,221.39706420898438,-4.161773681640625,-6.0980072021484375,7.409637451171875,-0.4888458251953125,-1.9887542724609375,-9.247528076171875,-12.7369384765625,8.18402099609375,10.815533075312093
1982-001,1982-05-01 18:00:00,15.5,82.5,0.0,1982-05-01 18:00:00,0.0,-3.664079122245312e-05,1.5249243006110191e-05,-1.0901130735874176e-05,3.4370459616184235e-05,87.16783142089844,77.47611999511719,95.30085754394531,100.19093322753906,290.325927734375,281.999267578125,269.200927734375,220.1305389404297,-1.1069793701171875,-3.7791748046875,-2.2429046630859375,2.3260345458984375,-3.6121826171875,-3.239044189453125,-7.1400909423828125,5.99468994140625,10.201842230921754
1982-001,1982-05-02 00:00:00,16.0,83.0,0.0,1982-05-02 00:00:00,0.0,-6.458722054958344e-07,-1.3408716768026352e-06,8.838251233100891e-06,-2.2742198780179024e-05,95.53154754638672,72.4581069946289,94.42683410644531,98.59774017333984,290.303466796875,283.066162109375,268.662841796875,220.5193634033203,-2.1562957763671875,-3.8577423095703125,-1.9841461181640625,-4.0646209716796875,-6.7904052734375,-6.913818359375,-9.1451416015625,8.522323608398438,15.43118177132513
1982-001,1982-05-02 03:00:00,16.5,83.5,0.0,1982-05-02 03:00:00,0.0,-4.584435373544693e-07,-1.3947486877441406e-05,3.42449638992548e-05,-1.355423592031002e-05,98.01263427734375,72.35313415527344,101.57540893554688,100.04773712158203,290.793212890625,282.04833984375,268.550048828125,220.9181365966797,-8.296600341796875,-5.810577392578125,-3.0429840087890625,0.042999267578125,-4.8137969970703125,-6.5412139892578125,-6.218475341796875,9.489501953125,16.556970813024524
1982-001,1982-05-02 06:00:00,16.5,84.0,1.0,1982-05-02 06:00:00,0.0,-5.737505853176117e-05,3.98287083953619e-05,3.47865279763937e-05,1.6373349353671074e-05,91.76284790039062,88.68711853027344,98.84358215332031,100.40544891357422,290.778564453125,281.84375,269.489013671875,221.75270080566406,-8.812179565429688,-8.974899291992188,-2.241546630859375,3.5504608154296875,-2.8579559326171875,-1.2008819580078125,3.678619384765625,10.740570068359375,18.37810617516643
1982-001,1982-05-02 12:00:00,16.5,84.5,1.0,1982-05-02 12:00:00,0.0,1.7714686691761017e-05,-9.857816621661186e-06,-2.0893290638923645e-05,4.107644781470299e-05,91.42972564697266,80.01236724853516,96.71243286132812,99.9157485961914,290.872314453125,282.796142578125,269.905029296875,221.78160095214844,-4.189239501953125,-1.4886322021484375,-2.503631591796875,2.788330078125,-2.6368865966796875,-4.8173828125,-2.2199554443359375,4.6754150390625,10.107236638018795
1982-001,1982-05-02 18:00:00,17.0,85.0,1.0,1982-05-02 18:00:00,0.0,2.7041882276535034e-05,-9.24128107726574e-06,1.5674158930778503e-05,5.822419188916683e-05,90.87566375732422,75.70916748046875,92.61236572265625,100.14015197753906,291.14599609375,283.211669921875,270.679443359375,220.3463134765625,-2.332855224609375,-2.70025634765625,1.8385009765625,-0.4304656982421875,-1.1156768798828125,-3.9369354248046875,-8.864349365234375,0.6191864013671875,2.5746526978722954
1982-001,1982-05-03 00:00:00,17.0,86.0,1.0,1982-05-03 00:00:00,0.0,-2.9993709176778793e-05,-1.3672281056642532e-05,6.0369959101080894e-05,5.910987965762615e-05,94.64198303222656,80.75293731689453,78.0448989868164,81.83343505859375,290.66796875,282.468017578125,269.58349609375,221.4330291748047,5.805084228515625,5.75640869140625,10.99169921875,-2.435546875,0.3318939208984375,-2.723602294921875,-10.945709228515625,1.1831512451171875,8.284481879771674
1982-001,1982-05-03 03:00:00,17.0,86.5,1.0,1982-05-03 03:00:00,0.0,7.835682481527328e-06,-2.7871225029230118e-05,4.469137638807297e-05,-4.6065542846918106e-05,90.15679931640625,83.09747314453125,98.8143539428711,100.97119903564453,291.141845703125,282.1611328125,269.637451171875,222.3491668701172,9.983505249023438,7.6812591552734375,7.293121337890625,-0.610687255859375,-0.6753997802734375,1.1685791015625,-0.0796356201171875,7.898895263671875,13.629213122229041
1982-001,1982-05-03 06:00:00,17.5,87.5,1.0,1982-05-03 06:00:00,0.0,-4.72476240247488e-05,-6.972160190343857e-05,0.00010586180724203587,-0.0001329602673649788,91.27848815917969,76.47249603271484,98.72761535644531,99.6243667602539,291.2958984375,282.144775390625,269.52197265625,223.0235595703125,-3.13970947265625,-2.54205322265625,0.5718841552734375,1.3055877685546875,11.423202514648438,14.620346069335938,13.049331665039062,4.4652862548828125,8.256710376453109
1982-001,1982-05-03 12:00:00,17.5,88.5,0.0,1982-05-03 12:00:00,0.0,-3.9383070543408394e-05,9.418698027729988e-06,5.790474824607372e-05,3.216089680790901e-06,96.45448303222656,82.45269012451172,99.84850311279297,97.815185546875,291.00830078125,282.673095703125,270.22802734375,223.09837341308594,1.99951171875,2.847564697265625,3.160919189453125,7.0344696044921875,9.931137084960938,7.9692840576171875,7.2559661865234375,4.1710357666015625,7.650461953958261
1982-001,1982-05-03 18:00:00,17.5,90.0,0.0,1982-05-03 18:00:00,0.0,-6.157741881906986e-05,-2.774433232843876e-05,7.441523484885693e-05,-2.7746427804231644e-05,95.43910217285156,90.14839172363281,99.57740020751953,102.5755844116211,291.414306640625,282.603515625,270.931640625,222.75807189941406,12.140350341796875,8.96368408203125,10.5277099609375,5.287109375,13.394821166992188,13.73876953125,12.320877075195312,3.4228057861328125,12.099917458606026
1982-001,1982-05-04 03:00:00,17.5,91.5,0.0,1982-05-04 03:00:00,0.0,4.428671672940254e-05,1.5110941603779793e-05,-5.483720451593399e-05,-1.633819192647934e-05,81.88601684570312,75.18169403076172,70.99200439453125,76.43721771240234,292.510009765625,283.31640625,271.420654296875,223.18641662597656,10.884246826171875,14.472625732421875,15.89166259765625,2.468017578125,-13.574600219726562,-15.550399780273438,-17.10076904296875,-1.83770751953125,14.442560888276624
1982-002,1982-05-31 12:00:00,14.5,91.5,0.0,1982-05-31 12:00:00,0.0,-3.6807963624596596e-05,2.968357875943184e-06,3.7268735468387604e-05,6.383843719959259e-05,86.45198822021484,94.86186218261719,81.879638671875,102.3247299194336,292.3349609375,284.203369140625,271.5947265625,223.99412536621094,10.9942626953125,1.9657135009765625,3.2247161865234375,-4.08392333984375,-5.656829833984375,-2.4730072021484375,6.08746337890625,1.9816436767578125,16.90260251218998
1982-002,1982-05-31 18:00:00,19.0,91.3,0.0,1982-05-31 18:00:00,0.0,1.7020152881741524e-05,-9.588198736310005e-06,1.5594996511936188e-05,-7.453793659806252e-05,77.64796447753906,66.47332763671875,86.64945220947266,97.51862335205078,293.969970703125,285.315185546875,270.234130859375,223.51239013671875,-5.8023834228515625,-6.208892822265625,-9.05145263671875,-5.0115814208984375,-0.0270538330078125,-4.0955810546875,-0.626556396484375,4.622894287109375,4.716713403003667
1982-002,1982-06-01 00:00:00,15.5,91.0,0.0,1982-06-01 00:00:00,0.0,-4.4126296415925026e-05,1.1137686669826508e-05,-4.87274955958128e-05,7.19199888408184e-05,85.70010375976562,90.501220703125,95.00923919677734,105.65274810791016,292.6162109375,284.68701171875,270.24169921875,224.73194885253906,12.3402099609375,2.468017578125,-3.175994873046875,-15.66119384765625,-5.9506072998046875,-5.7679595947265625,5.00531005859375,1.9528045654296875,29.095404007565456
1982-002,1982-06-01 03:00:00,16.0,91.0,0.0,1982-06-01 03:00:00,0.0,4.90434467792511e-06,-5.214568227529526e-05,1.205061562359333e-05,8.200062438845634e-06,79.4901351928711,99.5269775390625,94.83797454833984,100.73374938964844,291.44384765625,284.37158203125,270.577880859375,224.35076904296875,10.52276611328125,2.5644989013671875,-2.426910400390625,-15.824295043945312,-12.604354858398438,-7.306915283203125,5.50970458984375,7.4161224365234375,33.09058994244616
