granule_file,image_file,status
merg_1998111403_4km-pixel.nc4,1998-008_19981114_0300.npy,recovered
merg_2024090800_4km-pixel.nc4,2024-006_20240908_0000.npy,recovered
merg_2023102303_4km-pixel.nc4,2023-007_20231023_0300.npy,recovered
merg_2023080100_4km-pixel.nc4,2023-004_20230801_0000.npy,recovered
merg_2023051100_4km-pixel.nc4,2023-002_20230511_0000.npy,recovered
merg_2023013003_4km-pixel.nc4,2023-001_20230130_0300.npy,recovered
merg_2022081900_4km-pixel.nc4,2022-009_20220819_0000.npy,recovered
merg_2020051803_4km-pixel.nc4,2020-001_20200518_0300.npy,recovered
merg_2024091312_4km-pixel.nc4,2024-008_20240913_1200.npy,recovered
merg_2005091203_4km-pixel.nc4,2005-005_20050912_0300.npy,recovered
merg_2005072903_4km-pixel.nc4,2005-004_20050729_0300.npy,recovered
merg_2005112803_4km-pixel.nc4,2005-010_20051128_0300.npy,recovered
merg_2003082712_4km-pixel.nc4,2003-003_20030827_1200.npy,recovered
merg_2003072503_4km-pixel.nc4,2003-002_20030725_0300.npy,recovered
merg_2001101412_4km-pixel.nc4,2001-005_20011014_1200.npy,recovered
merg_2000122406_4km-pixel.nc4,2000-006_20001224_0600.npy,recovered
merg_2000112706_4km-pixel.nc4,2000-005_20001127_0600.npy,recovered
merg_2000102512_4km-pixel.nc4,2000-004_20001025_1200.npy,recovered
merg_1999102706_4km-pixel.nc4,1999-007_19991027_0600.npy,recovered
merg_1999101518_4km-pixel.nc4,1999-006_19991015_1800.npy,recovered
merg_1999020103_4km-pixel.nc4,1999-001_19990201_0300.npy,recovered
merg_2004051800_4km-pixel.nc4,2004-002_20040518_0000.npy,recovered
merg_2025112503_4km-pixel.nc4,2025-014_20251125_0300.npy,recovered
merg_2020051708_4km-pixel.nc4,2020-001_20200517_0900.npy,recovered
merg_2020051719_4km-pixel.nc4,2020-001_20200517_1800.npy,recovered
merg_2020051811_4km-pixel.nc4,2020-001_20200518_1200.npy,recovered
