storm_id,year,serial,basin,name,datetime_utc,time_resolved,latitude,longitude,dvorak_ci,central_pressure_hpa,max_wind_kt,pressure_drop_hpa,outer_closed_isobar_hpa,oci_diameter_km,grade,step,pos_suspect,date_suspect,target_time_24h,wind_24h_kt,delta_v_24h_kt,RI_24h,target_time_minus_6h,wind_minus_6h_kt,delta_v_minus_6h_kt,target_time_minus_12h,wind_minus_12h_kt,delta_v_minus_12h_kt,target_time_minus_24h,wind_minus_24h_kt,delta_v_minus_24h_kt,wind_6h_change,forecast_horizon_hours,ri_threshold_kt
1982-001,1982,1,BOB,,1982-05-01 03:00:00,1982-05-01 03:00:00,14.0,82.5,1.5,,25.0,3.0,,,D,0,False,False,1982-05-02 03:00:00,45.0,20.0,0.0,1982-04-30 21:00:00,,,1982-04-30 15:00:00,,,1982-04-30 03:00:00,,,,24,30
1982-001,1982,1,BOB,,1982-05-01 06:00:00,1982-05-01 06:00:00,14.5,82.5,2.0,,30.0,5.0,,,DD,1,False,False,1982-05-02 06:00:00,50.0,20.0,0.0,1982-05-01 00:00:00,,,1982-04-30 18:00:00,,,1982-04-30 06:00:00,,,,24,30
1982-001,1982,1,BOB,,1982-05-01 12:00:00,1982-05-01 12:00:00,15.0,82.0,2.5,,35.0,6.0,,,CS,2,False,False,1982-05-02 12:00:00,55.0,20.0,0.0,1982-05-01 06:00:00,30.0,5.0,1982-05-01 00:00:00,,,1982-04-30 12:00:00,,,5.0,24,30
1982-001,1982,1,BOB,,1982-05-01 18:00:00,1982-05-01 18:00:00,15.5,82.5,2.5,,40.0,8.0,,,CS,3,False,False,1982-05-02 18:00:00,55.0,15.0,0.0,1982-05-01 12:00:00,35.0,5.0,1982-05-01 06:00:00,30.0,10.0,1982-04-30 18:00:00,,,5.0,24,30
1982-001,1982,1,BOB,,1982-05-02 00:00:00,1982-05-02 00:00:00,16.0,83.0,3.0,,45.0,10.0,,,CS,4,False,False,1982-05-03 00:00:00,60.0,15.0,0.0,1982-05-01 18:00:00,40.0,5.0,1982-05-01 12:00:00,35.0,10.0,1982-05-01 00:00:00,,,5.0,24,30
1982-001,1982,1,BOB,,1982-05-02 03:00:00,1982-05-02 03:00:00,16.5,83.5,3.0,,45.0,10.042650267804008,,,CS,5,False,False,1982-05-03 03:00:00,65.0,20.0,0.0,1982-05-01 21:00:00,,,1982-05-01 15:00:00,,,1982-05-01 03:00:00,25.0,20.0,,24,30
1982-001,1982,1,BOB,,1982-05-02 06:00:00,1982-05-02 06:00:00,16.5,84.0,3.5,,50.0,12.398333663955565,,,SCS,6,False,False,1982-05-03 06:00:00,80.0,30.0,1.0,1982-05-02 00:00:00,45.0,5.0,1982-05-01 18:00:00,40.0,10.0,1982-05-01 06:00:00,30.0,20.0,5.0,24,30
1982-001,1982,1,BOB,,1982-05-02 12:00:00,1982-05-02 12:00:00,16.5,84.5,3.5,,55.0,15.001983733386234,,,SCS,7,False,False,1982-05-03 12:00:00,90.0,35.0,1.0,1982-05-02 06:00:00,50.0,5.0,1982-05-02 00:00:00,45.0,10.0,1982-05-01 12:00:00,35.0,20.0,5.0,24,30
1982-001,1982,1,BOB,,1982-05-02 18:00:00,1982-05-02 18:00:00,17.0,85.0,3.5,,55.0,15.001983733386234,,,SCS,8,False,False,1982-05-03 18:00:00,105.0,50.0,1.0,1982-05-02 12:00:00,55.0,0.0,1982-05-02 06:00:00,50.0,5.0,1982-05-01 18:00:00,40.0,15.0,0.0,24,30
1982-001,1982,1,BOB,,1982-05-03 00:00:00,1982-05-03 00:00:00,17.0,86.0,3.5,,60.0,17.853600476096013,,,SCS,9,False,False,1982-05-04 00:00:00,115.0,55.0,1.0,1982-05-02 18:00:00,55.0,5.0,1982-05-02 12:00:00,55.0,5.0,1982-05-02 00:00:00,45.0,15.0,5.0,24,30
