latitude,longitude,distance_to_water_m,distance_to_river_m,distance_to_lake_m,distance_to_reservoir_m,distance_to_inundation_area_m,near_river_1km,near_river_3km,near_water_1km,near_water_3km,near_inundation_3km,waterbody_count_5km,river_segment_count_5km
19.25,84.95,3732.306383365968,3379.843809829471,7186.4369781893965,4894.830583626565,80470.88982899593,0,0,0,0,0,2,1
19.25,85.049995,10852.282361363164,10047.137129777784,11710.837715595611,10852.282361363164,75033.15309826664,0,0,0,0,0,1,1
19.25,85.15,15614.423850507188,15544.49836988045,18497.03223483775,18688.947605849222,70743.62612977934,0,0,0,0,0,1,1
19.25,85.25,22418.05865299365,22406.107580209347,26431.823239084337,24939.447757418413,67642.2497762439,0,0,0,0,0,1,1
19.25,85.35,31250.697704423405,30408.73213222073,31830.827930391857,31788.928769842383,66022.98993660438,0,0,0,0,0,1,1
19.25,85.45,37240.64122529949,36663.17824729935,37663.50185133277,37240.64122529949,65199.39742365144,0,0,0,0,0,1,1
19.25,85.549995,43112.85879981588,42729.65291401942,44410.81789978903,43112.85879981588,65405.919611144454,0,0,0,0,0,1,1
19.25,85.65,47938.14393324485,47609.84776366425,52330.67738052803,48470.353787175845,67256.75961719354,0,0,0,0,0,1,1
19.25,85.75,52268.84575570767,51949.55443599604,59010.48071263154,54876.673860469746,70631.65823466159,0,0,0,0,0,1,1
19.25,85.85,57171.99628250316,56999.77527650964,60461.25043992946,61130.01538984631,75328.36638161543,0,0,0,0,0,1,1
19.25,85.95,61293.63443345215,61117.82825974225,63581.71008873737,62579.30315281636,81104.65336580903,0,0,0,0,0,1,1
19.25,86.049995,64736.660223177336,64419.51729087844,66533.8031194249,65693.52509229588,87088.38143816119,0,0,0,0,0,1,1
19.25,86.15,67040.02851642978,66863.43900946938,68358.74105844612,70252.034291548,93835.26638623957,0,0,0,0,0,1,1
19.25,86.25,69715.29820559711,69350.28969434524,69715.29820559711,75994.77127440009,101221.20825326732,0,0,0,0,0,1,1
19.25,86.35,72578.34195672935,72352.61850577817,72578.34195672935,82675.40827703495,109116.71781883789,0,0,0,0,0,1,1
19.25,86.45,75866.16257249459,75646.6700114313,76779.45428747189,90085.46980597732,117419.01004273834,0,0,0,0,0,1,1
19.25,86.549995,79653.01037878837,79569.65356039244,82113.16742156279,96456.91692849713,126047.26734290892,0,0,0,0,0,1,1
19.25,86.65,83435.39151461377,83410.06987909469,88375.42291051743,103383.8273570762,134940.1898002635,0,0,0,0,0,1,1
19.25,86.75,87457.68036641635,87363.58804348488,95382.73248948359,110871.10423607998,144047.61130170093,0,0,0,0,0,1,1
19.25,86.85,92499.50244437355,92344.36670087809,102983.3417486411,118813.1178431847,153331.67753924287,0,0,0,0,0,1,1
19.25,86.95,98404.26529448139,98196.2063595123,111055.50168022743,127113.34444590521,162762.17280032573,0,0,0,0,0,1,1
19.25,87.049995,104998.80615557835,104676.94227120644,119503.27375792454,135711.29547812368,172314.59253459852,0,0,0,0,0,1,1
19.35,84.95,1386.994553890926,1697.0813518263883,2186.8539875788015,1386.994553890926,71607.64882870411,0,1,0,1,0,26,17
19.35,85.049995,1790.7057698648662,699.6178275162805,3344.1503252162147,6424.337238229285,65441.98231594727,1,1,0,1,0,4,9
19.35,85.15,7499.049619631698,7408.66900412321,12840.599767072086,9745.09431220962,60479.66326686204,0,0,0,0,0,1,1
19.35,85.25,16527.458996581154,15255.960446693913,16675.24889155351,16527.458996581154,56924.93030470727,0,0,0,0,0,1,1
19.35,85.35,22717.83211173222,21508.083077786298,22717.83211173222,22805.5484381395,54992.748992655375,0,0,0,0,0,1,1
19.35,85.45,27997.022698762215,27731.630493470584,29157.974421478662,27997.022698762215,54155.1462658404,0,0,0,0,0,1,1
19.35,85.549995,33541.63905610808,33096.81257048925,37321.33984496581,33551.22354443048,54403.95512464622,0,0,0,0,0,1,1
19.35,85.65,37833.58541698301,37440.42707481509,44966.42250687292,39628.179303803874,56612.31248954005,0,0,0,0,0,1,1
19.35,85.75,42524.532072462025,42363.98384232958,47960.677040140414,46110.11771179703,60581.16342763836,0,0,0,0,0,1,1
19.35,85.85,47293.97298321777,47077.13034072552,49734.15234757834,50082.48227155117,65994.2092522268,0,0,0,0,0,1,1
