cyclone_id,cyclone_name,timestamp_utc,latitude,longitude,central_pressure_hpa,max_sustained_wind_kt,pressure_drop_hpa,ci_number,grade
AMPHAN_2020,AMPHAN,2020-05-16 00:00:00,10.4,87.0,1000,25,3,1.5,D
AMPHAN_2020,AMPHAN,2020-05-16 03:00:00,10.7,86.5,1000,25,3,1.5,D
AMPHAN_2020,AMPHAN,2020-05-16 06:00:00,10.9,86.3,1000,25,3,1.5,D
AMPHAN_2020,AMPHAN,2020-05-16 12:00:00,10.9,86.3,996,35,7,2.5,CS
AMPHAN_2020,AMPHAN,2020-05-16 15:00:00,11.0,86.2,995,40,8,2.5,CS
AMPHAN_2020,AMPHAN,2020-05-16 18:00:00,11.1,86.1,995,40,8,2.5,CS
AMPHAN_2020,AMPHAN,2020-05-16 21:00:00,11.3,86.1,994,45,10,3.0,CS
AMPHAN_2020,AMPHAN,2020-05-17 00:00:00,11.4,86.0,992,45,10,3.0,CS
AMPHAN_2020,AMPHAN,2020-05-17 03:00:00,11.4,86.0,990,50,12,3.0,SCS
AMPHAN_2020,AMPHAN,2020-05-17 06:00:00,11.5,86.0,988,55,15,3.5,SCS
AMPHAN_2020,AMPHAN,2020-05-17 09:00:00,11.7,86.0,980,65,22,4.0,VSCS
AMPHAN_2020,AMPHAN,2020-05-17 12:00:00,12.0,86.0,978,70,25,4.0,VSCS
AMPHAN_2020,AMPHAN,2020-05-17 15:00:00,12.8,86.2,978,70,25,4.0,VSCS
AMPHAN_2020,AMPHAN,2020-05-17 18:00:00,12.5,86.1,970,80,32,4.5,VSCS
AMPHAN_2020,AMPHAN,2020-05-17 21:00:00,12.9,86.4,962,90,40,5.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-18 00:00:00,13.2,86.3,952,100,50,5.5,ESCS
AMPHAN_2020,AMPHAN,2020-05-18 03:00:00,13.3,86.2,936,115,66,6.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-18 06:00:00,13.4,86.2,930,120,72,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-18 09:00:00,13.7,86.2,930,120,72,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-18 12:00:00,14.0,86.3,926,125,76,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-18 15:00:00,14.5,86.4,926,125,76,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-18 18:00:00,14.9,86.5,920,130,84,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-18 21:00:00,15.2,86.6,920,130,84,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-19 00:00:00,15.6,86.7,926,125,76,6.5,SuCS
AMPHAN_2020,AMPHAN,2020-05-19 03:00:00,16.0,86.8,930,120,72,6.0,SuCS
AMPHAN_2020,AMPHAN,2020-05-19 06:00:00,16.5,86.9,936,115,66,6.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-19 09:00:00,17.0,86.9,942,110,60,6.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-19 12:00:00,17.4,87.0,946,105,56,5.5,ESCS
AMPHAN_2020,AMPHAN,2020-05-19 15:00:00,18.1,87.1,950,100,50,5.5,ESCS
AMPHAN_2020,AMPHAN,2020-05-19 18:00:00,18.4,87.2,950,100,50,5.5,ESCS
AMPHAN_2020,AMPHAN,2020-05-19 21:00:00,18.7,87.2,950,100,50,5.5,ESCS
AMPHAN_2020,AMPHAN,2020-05-20 00:00:00,19.1,87.5,954,95,46,5.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-20 03:00:00,19.8,87.7,958,90,40,5.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-20 06:00:00,20.6,88.0,960,90,40,5.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-20 09:00:00,21.4,88.1,960,90,40,5.0,ESCS
AMPHAN_2020,AMPHAN,2020-05-20 12:00:00,21.9,88.4,968,80,32,,VSCS
AMPHAN_2020,AMPHAN,2020-05-20 15:00:00,22.7,88.6,978,65,32,,VSCS
AMPHAN_2020,AMPHAN,2020-05-20 18:00:00,23.3,89.0,984,50,14,,SCS
AMPHAN_2020,AMPHAN,2020-05-20 21:00:00,24.2,89.0,986,45,12,,CS
AMPHAN_2020,AMPHAN,2020-05-21 00:00:00,24.2,89.3,988,40,10,,CS
AMPHAN_2020,AMPHAN,2020-05-21 03:00:00,24.7,89.5,990,35,8,,CS
AMPHAN_2020,AMPHAN,2020-05-21 06:00:00,25.0,89.6,992,30,6,,DD
AMPHAN_2020,AMPHAN,2020-05-21 12:00:00,25.4,89.6,995,20,4,,D
FANI_2019,FANI,2019-04-26 03:00:00,2.7,89.7,998,25,4,1.5,D
FANI_2019,FANI,2019-04-26 06:00:00,3.0,89.4,998,25,4,1.5,D
FANI_2019,FANI,2019-04-26 18:00:00,3.7,88.8,998,25,4,1.5,D
FANI_2019,FANI,2019-04-27 00:00:00,4.5,88.8,997,30,5,2.0,DD
FANI_2019,FANI,2019-04-27 03:00:00,4.9,88.7,996,30,6,2.0,DD
FANI_2019,FANI,2019-04-27 06:00:00,5.2,88.6,995,35,7,2.5,CS
FANI_2019,FANI,2019-04-27 09:00:00,5.4,88.5,994,40,8,2.5,CS
FANI_2019,FANI,2019-04-27 12:00:00,5.9,88.5,992,45,10,3.0,CS
FANI_2019,FANI,2019-04-27 15:00:00,6.3,88.5,992,45,10,3.0,CS
FANI_2019,FANI,2019-04-27 18:00:00,6.6,88.2,992,45,10,3.0,CS
FANI_2019,FANI,2019-04-27 21:00:00,6.9,87.9,992,45,10,3.0,CS
FANI_2019,FANI,2019-04-28 00:00:00,7.3,87.9,992,45,10,3.0,CS
FANI_2019,FANI,2019-04-28 03:00:00,7.3,87.9,992,45,10,3.0,CS
