SID,SEASON,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_PRES
2020136N10088,2020,AMPHAN,2020-05-15 06:00:00,9.5,87.5,20.0,1007.0
2020136N10088,2020,AMPHAN,2020-05-15 09:00:00,9.5,87.2,25.0,1005.0
2020136N10088,2020,AMPHAN,2020-05-15 12:00:00,9.5,87.0,30.0,1002.0
2020136N10088,2020,AMPHAN,2020-05-15 15:00:00,9.5,86.8,30.0,1002.0
2020136N10088,2020,AMPHAN,2020-05-15 18:00:00,9.5,86.6,30.0,1001.0
2020136N10088,2020,AMPHAN,2020-05-15 21:00:00,9.6,86.5,33.0,1000.0
2020136N10088,2020,AMPHAN,2020-05-16 00:00:00,9.8,86.4,35.0,999.0
2020136N10088,2020,AMPHAN,2020-05-16 03:00:00,10.1,86.2,38.0,998.0
2020136N10088,2020,AMPHAN,2020-05-16 06:00:00,10.3,86.1,40.0,997.0
2020136N10088,2020,AMPHAN,2020-05-16 09:00:00,10.5,86.1,45.0,995.0
2020136N10088,2020,AMPHAN,2020-05-16 12:00:00,10.6,86.2,50.0,992.0
2020136N10088,2020,AMPHAN,2020-05-16 15:00:00,10.8,86.1,53.0,990.0
2020136N10088,2020,AMPHAN,2020-05-16 18:00:00,10.9,86.1,55.0,987.0
2020136N10088,2020,AMPHAN,2020-05-16 21:00:00,11.1,86.1,58.0,985.0
2020136N10088,2020,AMPHAN,2020-05-17 00:00:00,11.2,86.1,60.0,982.0
2020136N10088,2020,AMPHAN,2020-05-17 03:00:00,11.3,86.1,65.0,980.0
2020136N10088,2020,AMPHAN,2020-05-17 06:00:00,11.5,86.2,70.0,978.0
2020136N10088,2020,AMPHAN,2020-05-17 09:00:00,11.6,86.2,75.0,974.0
2020136N10088,2020,AMPHAN,2020-05-17 12:00:00,11.9,86.2,80.0,970.0
2020136N10088,2020,AMPHAN,2020-05-17 15:00:00,12.5,86.4,100.0,951.0
2020136N10088,2020,AMPHAN,2020-05-17 18:00:00,12.5,86.4,120.0,932.0
2020136N10088,2020,AMPHAN,2020-05-17 21:00:00,12.9,86.5,125.0,926.0
2020136N10088,2020,AMPHAN,2020-05-18 00:00:00,13.2,86.4,130.0,919.0
2020136N10088,2020,AMPHAN,2020-05-18 03:00:00,13.3,86.2,135.0,915.0
2020136N10088,2020,AMPHAN,2020-05-18 06:00:00,13.4,86.2,140.0,911.0
2020136N10088,2020,AMPHAN,2020-05-18 09:00:00,13.7,86.2,143.0,906.0
2020136N10088,2020,AMPHAN,2020-05-18 12:00:00,14.1,86.4,145.0,901.0
2020136N10088,2020,AMPHAN,2020-05-18 15:00:00,14.5,86.5,143.0,906.0
2020136N10088,2020,AMPHAN,2020-05-18 18:00:00,14.9,86.6,140.0,910.0
2020136N10088,2020,AMPHAN,2020-05-18 21:00:00,15.2,86.7,133.0,918.0
2020136N10088,2020,AMPHAN,2020-05-19 00:00:00,15.6,86.8,125.0,925.0
2020136N10088,2020,AMPHAN,2020-05-19 03:00:00,16.0,86.9,118.0,933.0
2020136N10088,2020,AMPHAN,2020-05-19 06:00:00,16.5,87.0,110.0,941.0
2020136N10088,2020,AMPHAN,2020-05-19 09:00:00,16.9,87.0,108.0,944.0
2020136N10088,2020,AMPHAN,2020-05-19 12:00:00,17.3,87.1,105.0,946.0
2020136N10088,2020,AMPHAN,2020-05-19 15:00:00,17.9,87.1,105.0,946.0
2020136N10088,2020,AMPHAN,2020-05-19 18:00:00,18.3,87.2,105.0,945.0
2020136N10088,2020,AMPHAN,2020-05-19 21:00:00,18.7,87.3,103.0,946.0
2020136N10088,2020,AMPHAN,2020-05-20 00:00:00,19.2,87.5,100.0,947.0
2020136N10088,2020,AMPHAN,2020-05-20 03:00:00,19.8,87.7,98.0,950.0
2020136N10088,2020,AMPHAN,2020-05-20 06:00:00,20.6,88.0,95.0,953.0
2020136N10088,2020,AMPHAN,2020-05-20 09:00:00,21.4,88.1,95.0,954.0
2020136N10088,2020,AMPHAN,2020-05-20 12:00:00,22.1,88.4,95.0,954.0
2020136N10088,2020,AMPHAN,2020-05-20 15:00:00,22.8,88.6,83.0,964.0
2020136N10088,2020,AMPHAN,2020-05-20 18:00:00,23.5,89.1,70.0,974.0
2020136N10088,2020,AMPHAN,2020-05-20 21:00:00,24.3,89.3,60.0,979.0
2020136N10088,2020,AMPHAN,2020-05-21 00:00:00,24.6,89.6,50.0,984.0
2020136N10088,2020,AMPHAN,2020-05-21 03:00:00,25.1,89.9,40.0,992.0
2020136N10088,2020,AMPHAN,2020-05-21 06:00:00,25.4,90.1,30.0,1000.0
2020136N10088,2020,AMPHAN,2020-05-21 09:00:00,25.2,89.6,,
2020136N10088,2020,AMPHAN,2020-05-21 12:00:00,25.4,89.6,,
2019116N02090,2019,FANI,2019-04-25 18:00:00,1.9,90.2,25.0,1004.0
2019116N02090,2019,FANI,2019-04-25 21:00:00,2.1,90.1,25.0,1004.0
2019116N02090,2019,FANI,2019-04-26 00:00:00,2.2,90.0,25.0,1003.0
2019116N02090,2019,FANI,2019-04-26 03:00:00,2.3,89.8,25.0,1003.0
2019116N02090,2019,FANI,2019-04-26 06:00:00,2.5,89.7,25.0,1003.0
2019116N02090,2019,FANI,2019-04-26 09:00:00,2.8,89.8,25.0,1003.0
2019116N02090,2019,FANI,2019-04-26 12:00:00,3.2,89.8,25.0,1003.0
2019116N02090,2019,FANI,2019-04-26 15:00:00,3.5,89.7,28.0,1004.0
2019116N02090,2019,FANI,2019-04-26 18:00:00,3.8,89.5,30.0,1004.0
2019116N02090,2019,FANI,2019-04-26 21:00:00,4.2,89.4,33.0,1004.0
2019116N02090,2019,FANI,2019-04-27 00:00:00,4.6,89.4,35.0,1003.0
2019116N02090,2019,FANI,2019-04-27 03:00:00,4.9,89.4,40.0,1001.0
2019116N02090,2019,FANI,2019-04-27 06:00:00,5.1,89.4,45.0,998.0
2019116N02090,2019,FANI,2019-04-27 09:00:00,5.5,89.3,45.0,997.0
2019116N02090,2019,FANI,2019-04-27 12:00:00,6.0,89.2,45.0,996.0
2019116N02090,2019,FANI,2019-04-27 15:00:00,6.4,88.9,45.0,996.0
2019116N02090,2019,FANI,2019-04-27 18:00:00,6.6,88.5,45.0,996.0
2019116N02090,2019,FANI,2019-04-27 21:00:00,6.8,88.2,45.0,997.0
2019116N02090,2019,FANI,2019-04-28 00:00:00,7.1,88.1,45.0,998.0
2019116N02090,2019,FANI,2019-04-28 03:00:00,7.2,88.1,45.0,998.0
2019116N02090,2019,FANI,2019-04-28 06:00:00,7.4,88.1,45.0,998.0
2019116N02090,2019,FANI,2019-04-28 09:00:00,7.6,87.9,45.0,997.0
2019116N02090,2019,FANI,2019-04-28 12:00:00,8.0,87.6,45.0,996.0
2019116N02090,2019,FANI,2019-04-28 15:00:00,8.1,87.5,45.0,996.0
2019116N02090,2019,FANI,2019-04-28 18:00:00,8.2,87.5,45.0,995.0
2019116N02090,2019,FANI,2019-04-28 21:00:00,8.4,87.4,45.0,992.0
2019116N02090,2019,FANI,2019-04-29 00:00:00,8.6,87.4,45.0,989.0
2019116N02090,2019,FANI,2019-04-29 03:00:00,8.8,87.2,48.0,987.0
2019116N02090,2019,FANI,2019-04-29 06:00:00,9.3,87.2,50.0,985.0
2019116N02090,2019,FANI,2019-04-29 09:00:00,9.8,87.1,55.0,986.0
2019116N02090,2019,FANI,2019-04-29 12:00:00,10.2,87.1,60.0,987.0
2019116N02090,2019,FANI,2019-04-29 15:00:00,10.5,86.9,65.0,984.0
2019116N02090,2019,FANI,2019-04-29 18:00:00,10.9,86.8,70.0,981.0
2019116N02090,2019,FANI,2019-04-29 21:00:00,11.3,86.6,78.0,976.0
2019116N02090,2019,FANI,2019-04-30 00:00:00,11.8,86.5,85.0,971.0
2019116N02090,2019,FANI,2019-04-30 03:00:00,12.3,86.2,88.0,969.0
2019116N02090,2019,FANI,2019-04-30 06:00:00,12.7,85.8,90.0,967.0
